source	key	candidate	revision	digest	census	licence_screen	revision_screen	fern_screen	disposition	evidence
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/BalancePlatformService-v2.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	8761ac1a9aab15ff6ae84bf8cdf83ca2a2926c5eb0d5d59b64fdbc18911d9ab4	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:24
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/BalancePlatformTransactionNotification-v4.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	c017c89744b5bbc81757af9a224b8e2dc7186b5619c87203b15517329c9f6e55	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:25
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/BalancePlatformTransferNotification-v3.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	1e730d110ee05b07ecd99379325200e69bed791761f8c9344b132e776f720628	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:26
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/BalancePlatformTransferNotification-v4.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	2a1bbc0ac46d446485240fb71bd74a2efee788f881bbabd027c2010fa51d638c	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:27
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/BinLookupService-v40.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	0e29a2e42c98b260401a02cbb03e578f335b90993a735cd566129216b2ba70f4	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:28
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/BinLookupService-v50.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	98a1bb3e04131c780fefd9637ee77a50088726ba08a03007a2e5ec850e9639b3	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:29
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/BinLookupService-v52.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	5d10c90ba84e214dcd7332e45f3de124e95667ffb19bf3aa94d029c035b6a14d	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:30
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/BinLookupService-v53.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	7843c3eff43b09f4e499afa9a6b126c37efbef35c59f280bdfdb54712ed1f530	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:31
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/BinLookupService-v54.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	a60793003268bd224b57469e1968fc2902584198bc019b678354c5c3e2e50495	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:32
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/CapitalService-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	03969223d168d12c64c77dae327ea08a0c914a3104a77caf3ccb968ee61af0d7	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:33
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/CheckoutService-v37.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	513ede066d35af45ccbef68a3c034f422c862eb00090ef7c37947936e8a2eb3d	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:34
