snapshot_utc	catalogue_digest	gap_key	selector	outcome	api_id	version	spec_url	source_url	immutable_ref	license	license_screen	declaration_count	notes
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	property-sole-oneof-composed-member	schema.properties>schema.oneOf:sole-member&schema.oneOf>!schema.type:primary-scalar&schema.allOf	none-found									no catalogue version declared this selector
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	property-sole-oneof-empty-object-member	schema.properties>schema.oneOf:sole-member&schema.oneOf>!schema.additionalProperties&!schema.properties:non-empty&schema.properties&schema.type:primary=object	none-found									no catalogue version declared this selector
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	ref-pointer-undeclared-component-head	schema.$ref:undeclared-component-head	none-found									no catalogue version declared this selector
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	ref-pointer-unnamed-segment	schema.$ref:unnamed-segment	candidate	codat.io:accounting	2.1.0	https://api.apis.guru/v2/specs/codat.io/accounting/2.1.0/openapi.json				refused	178	publisher-owned immutable source not evidenced; document declares no info.license
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	ref-pointer-unnamed-segment	schema.$ref:unnamed-segment	candidate	codat.io:assess	1.0	https://api.apis.guru/v2/specs/codat.io/assess/1.0/openapi.json				refused	45	publisher-owned immutable source not evidenced; document declares no info.license
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	ref-pointer-unnamed-segment	schema.$ref:unnamed-segment	candidate	codat.io:bank-feeds	2.1.0	https://api.apis.guru/v2/specs/codat.io/bank-feeds/2.1.0/openapi.json				refused	20	publisher-owned immutable source not evidenced; document declares no info.license
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	ref-pointer-unnamed-segment	schema.$ref:unnamed-segment	candidate	codat.io:banking	2.1.0	https://api.apis.guru/v2/specs/codat.io/banking/2.1.0/openapi.json				refused	8	publisher-owned immutable source not evidenced; document declares no info.license
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	ref-pointer-unnamed-segment	schema.$ref:unnamed-segment	candidate	codat.io:commerce	2.1.0	https://api.apis.guru/v2/specs/codat.io/commerce/2.1.0/openapi.json				refused	31	publisher-owned immutable source not evidenced; document declares no info.license
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	ref-pointer-unnamed-segment	schema.$ref:unnamed-segment	candidate	codat.io:sync-for-commerce	1.1	https://api.apis.guru/v2/specs/codat.io/sync-for-commerce/1.1/openapi.json				refused	6	publisher-owned immutable source not evidenced; document declares no info.license
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	ref-pointer-unnamed-segment	schema.$ref:unnamed-segment	candidate	codat.io:sync-for-expenses	prealpha	https://api.apis.guru/v2/specs/codat.io/sync-for-expenses/prealpha/openapi.json				refused	2	publisher-owned immutable source not evidenced; document declares no info.license
