repository	path	sha256	pinned_refs	sources	classification	declared_keys	licence	ref_screen	fern	disposition	evidence	screen_evidence
Adyen/adyen-openapi	json/CheckoutService-v37.json	513ede066d35af45ccbef68a3c034f422c862eb00090ef7c37947936e8a2eb3d	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:34	not-applicable-no-declaration
Adyen/adyen-openapi	json/CheckoutService-v40.json	7ed130262c6ec5ea41442029091e9417d34b1dc5206ee49e2b13a8428d41ce14	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:35	not-applicable-no-declaration
Adyen/adyen-openapi	json/CheckoutService-v41.json	bcb2c11c80a58f004fe04860a906e7a3203ec807181f404db739ca7ce49c5966	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:36	not-applicable-no-declaration
Adyen/adyen-openapi	json/CheckoutService-v46.json	e7633e1e0b406eae4f0b56e5b821f64a9106c50d2921d24a2c241744035c16c4	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:37	not-applicable-no-declaration
Adyen/adyen-openapi	json/CheckoutService-v49.json	d9c91d454b6e5f911d9e894584edb58a2c368c843eaefec3c29b0bf50cd4591a	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:38	not-applicable-no-declaration
Adyen/adyen-openapi	json/CheckoutService-v50.json	ec145b6371783737a3bd34b748d8369ec930ba03308e87e4048c9912442377a4	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:39	not-applicable-no-declaration
Adyen/adyen-openapi	json/CheckoutService-v51.json	45ba9e6af89bba87a92362d3aa17b4426bbd0059763b15c4469b232f7378a985	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:40	not-applicable-no-declaration
Adyen/adyen-openapi	json/CheckoutService-v52.json	19128c08ad0c929352322de367e74832caab6f682ca97a31255b7a877f32b583	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:41	not-applicable-no-declaration
Adyen/adyen-openapi	json/CheckoutService-v53.json	bd13379117da4efb3c38ea2b909bb440ea353f7df3b1e1c3ee9e79bc3af90ceb	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:42	not-applicable-no-declaration
Adyen/adyen-openapi	json/CheckoutService-v64.json	2e3286f3a46761cf6ae94e9ff004f3af4db357cd4ca47f98872a8c42c1c28ec7	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:43	not-applicable-no-declaration
Adyen/adyen-openapi	json/CheckoutService-v65.json	6240fc0856755c4a3f27da9530e347331bb0c93dac5897ee73693329bf5d9c94	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:44	not-applicable-no-declaration
